怒海英雄：公爵夫人与恶魔,9.0,英国,战争,https://movie.douban.com/subject/1889695/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2278607774.jpg
地下,9.1,法国,战争,https://movie.douban.com/subject/1292206/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1833776334.jpg
夜与雾,9.2,法国,战争,https://movie.douban.com/subject/1298270/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2338915952.jpg
光荣的日子,9.1,法国,战争,https://movie.douban.com/subject/3724036/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1112469352.jpg
钢琴家,9.0,法国,战争,https://movie.douban.com/subject/1296736/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg
沉静如海,9.0,法国,战争,https://movie.douban.com/subject/1769507/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2365157916.jpg
地下,9.1,德国,战争,https://movie.douban.com/subject/1292206/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1833776334.jpg
钢琴家,9.0,德国,战争,https://movie.douban.com/subject/1296736/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg
美丽人生,9.5,意大利,战争,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg
革命往事,9.1,意大利,战争,https://movie.douban.com/subject/1301026/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206010357.jpg
泰坦尼克号,9.3,美国,灾难,https://movie.douban.com/subject/1292722/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
心灵融合,9.5,美国,科幻,https://movie.douban.com/subject/5131881/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2511552687.jpg
瑞克与莫蒂之精致死尸,9.4,美国,科幻,https://movie.douban.com/subject/27101676/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2494617459.jpg
超感猎杀：完结特别篇,9.4,美国,科幻,https://movie.douban.com/subject/27040774/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2520264840.jpg
历史频道 - 宇宙系列：大爆炸开始,9.3,美国,科幻,https://movie.douban.com/subject/4714475/,https://img3.doubanio.com/view/subject/l/public/s4227350.jpg
盗梦空间,9.3,美国,科幻,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
机器人总动员,9.3,美国,科幻,https://movie.douban.com/subject/2131459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
守望先锋：双龙,9.3,美国,科幻,https://movie.douban.com/subject/26860017/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2417863546.jpg
萤火虫10周年纪念,9.3,美国,科幻,https://movie.douban.com/subject/24882604/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2161889323.jpg
星际穿越,9.2,美国,科幻,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
守望先锋：最后的堡垒,9.2,美国,科幻,https://movie.douban.com/subject/26860014/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2501625602.jpg
楚门的世界,9.1,美国,科幻,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
机器的复兴：第1部,9.1,美国,科幻,https://movie.douban.com/subject/2049553/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189949483.jpg
机器的复兴：第2部,9.1,美国,科幻,https://movie.douban.com/subject/2049556/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189949652.jpg
蝙蝠侠：黑暗骑士,9.1,美国,科幻,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
电焊工波力,9.0,美国,科幻,https://movie.douban.com/subject/3338821/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1202712652.jpg
世界纪录,9.0,美国,科幻,https://movie.douban.com/subject/2049559/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189185870.jpg
如此美好的一天(短片),9.1,美国,科幻,https://movie.douban.com/subject/10598713/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2395484381.jpg
最棒的怪物,8.9,美国,科幻,https://movie.douban.com/subject/20393812/,https://img1.doubanio.com/view/subject/l/public/s24428449.jpg
星际牛仔,9.5,日本,科幻,https://movie.douban.com/subject/26883616/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2385967281.jpg
新世纪福音战士剧场版：Air/真心为你,9.4,日本,科幻,https://movie.douban.com/subject/1308892/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453716993.jpg
新世纪福音战士剧场版：复兴,9.3,日本,科幻,https://movie.douban.com/subject/20458867/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2227584460.jpg
福音战士新剧场版：破,9.2,日本,科幻,https://movie.douban.com/subject/2567646/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1026522114.jpg
新世纪福音战士剧场版：死与新生,9.2,日本,科幻,https://movie.douban.com/subject/1455442/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p454134242.jpg
银河英雄传说：我的征途是星辰大海,9.2,日本,科幻,https://movie.douban.com/subject/3542206/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p486657453.jpg
福音战士新剧场版：序,9.1,日本,科幻,https://movie.douban.com/subject/1968790/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453715063.jpg
机动战士高达 THE ORIGIN III 破晓的起义,9.1,日本,科幻,https://movie.douban.com/subject/26359261/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2325456546.jpg
命运石之门：横行跋扈的浪荡之徒,9.1,日本,科幻,https://movie.douban.com/subject/10521690/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1432532161.jpg
银河英雄传说：新战争的序曲,9.1,日本,科幻,https://movie.douban.com/subject/3542229/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518590956.jpg
机动战士高达THE ORIGIN 赤色彗星诞生,8.9,日本,科幻,https://movie.douban.com/subject/26920182/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518242401.jpg
攻壳机动队2：无罪,9.0,日本,科幻,https://movie.douban.com/subject/1291566/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910832189.jpg
凉宫春日的消失,9.0,日本,科幻,https://movie.douban.com/subject/4074292/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2246432125.jpg
机动战士高达 THE ORIGIN IV 命运前夜,9.0,日本,科幻,https://movie.douban.com/subject/26359260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409626594.jpg
机动战士高达：逆袭的夏亚,9.0,日本,科幻,https://movie.douban.com/subject/1401536/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p546980785.jpg
2112年 哆啦A梦诞生,9.0,日本,科幻,https://movie.douban.com/subject/3558793/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507589858.jpg
新世纪福音战士 第0:0话 诞生之始,9.0,日本,科幻,https://movie.douban.com/subject/26306741/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2222846543.jpg
赛文奥特曼 我是地球人,9.0,日本,科幻,https://movie.douban.com/subject/5041031/,https://img3.doubanio.com/view/subject/l/public/s4444833.jpg
高智能方程式赛车 TV总集篇,9.0,日本,科幻,https://movie.douban.com/subject/4906417/,https://img3.doubanio.com/view/subject/l/public/s4412555.jpg
宇宙快递,9.0,韩国,科幻,https://movie.douban.com/subject/25884822/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2229847445.jpg
神秘博士特别篇：时间尽头(下),9.3,英国,科幻,https://movie.douban.com/subject/4215755/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2151699747.jpg
神秘博士2005慈善特辑：帮助儿童,9.4,英国,科幻,https://movie.douban.com/subject/10577674/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1826505672.jpg
盗梦空间,9.3,英国,科幻,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
星际穿越,9.2,英国,科幻,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
神秘博士：时间冲撞,9.2,英国,科幻,https://movie.douban.com/subject/4188543/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2523700570.jpg
最棒的同伴,9.1,英国,科幻,https://movie.douban.com/subject/20399058/,https://img1.doubanio.com/view/subject/l/public/s24439949.jpg
黑镜：圣诞特别篇,9.1,英国,科幻,https://movie.douban.com/subject/25964630/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233676442.jpg
神秘博士圣诞时刻,9.0,英国,科幻,https://movie.douban.com/subject/21354158/,https://img3.doubanio.com/view/subject/l/public/s24976003.jpg
蝙蝠侠：黑暗骑士,9.1,英国,科幻,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
神秘博士：火星之水,9.0,英国,科幻,https://movie.douban.com/subject/4144683/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151616662.jpg
最棒的怪物,8.9,英国,科幻,https://movie.douban.com/subject/20393812/,https://img1.doubanio.com/view/subject/l/public/s24428449.jpg
星际穿越,9.2,加拿大,科幻,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
